optimizer,learning_rate,accuracy,run
Adam,0.001,0.698630154132843,1
Adam,0.002,0.8630136847496033,1
Adam,0.003,0.7808219194412231,1
Adam,0.005,0.7123287916183472,1
Adam,0.010,0.8630136847496033,1
Adam,0.015,0.8082191944122314,1
Adam,0.020,0.7260273694992065,1
Adam,0.030,0.7397260069847107,1
Adam,0.040,0.7397260069847107,1
Adam,0.050,0.7123287916183472,1
Adam,0.060,0.7397260069847107,1
Adam,0.070,0.7397260069847107,1
SGD,0.001,0.42465752363204956,1
SGD,0.002,0.5753424763679504,1
SGD,0.003,0.5753424763679504,1
SGD,0.005,0.6712328791618347,1
SGD,0.010,0.6575342416763306,1
SGD,0.015,0.6712328791618347,1
SGD,0.020,0.6575342416763306,1
SGD,0.030,0.6712328791618347,1
SGD,0.040,0.6712328791618347,1
SGD,0.050,0.6712328791618347,1
SGD,0.060,0.6575342416763306,1
SGD,0.070,0.6575342416763306,1
RMSprop,0.001,0.8493150472640991,1
RMSprop,0.002,0.7808219194412231,1
RMSprop,0.003,0.8767123222351074,1
RMSprop,0.005,0.9178082346916199,1
RMSprop,0.010,0.767123281955719,1
RMSprop,0.015,0.9041095972061157,1
RMSprop,0.020,0.8493150472640991,1
RMSprop,0.030,0.698630154132843,1
RMSprop,0.040,0.8082191944122314,1
RMSprop,0.050,0.835616409778595,1
RMSprop,0.060,0.6712328791618347,1
RMSprop,0.070,0.42465752363204956,1
Adagrad,0.001,0.5890411138534546,1
Adagrad,0.002,0.5890411138534546,1
Adagrad,0.003,0.6575342416763306,1
Adagrad,0.005,0.6712328791618347,1
Adagrad,0.010,0.6712328791618347,1
Adagrad,0.015,0.6575342416763306,1
Adagrad,0.020,0.6712328791618347,1
Adagrad,0.030,0.6438356041908264,1
Adagrad,0.040,0.6575342416763306,1
Adagrad,0.050,0.6712328791618347,1
Adagrad,0.060,0.6712328791618347,1
Adagrad,0.070,0.8767123222351074,1
Adadelta,0.001,0.42465752363204956,1
Adadelta,0.002,0.42465752363204956,1
Adadelta,0.003,0.42465752363204956,1
Adadelta,0.005,0.4383561611175537,1
Adadelta,0.010,0.4383561611175537,1
Adadelta,0.015,0.6027397513389587,1
Adadelta,0.020,0.5753424763679504,1
Adadelta,0.030,0.5890411138534546,1
Adadelta,0.040,0.6712328791618347,1
Adadelta,0.050,0.6712328791618347,1
Adadelta,0.060,0.6712328791618347,1
Adadelta,0.070,0.6849315166473389,1
AdamW,0.001,0.8493150472640991,1
AdamW,0.002,0.8219178318977356,1
AdamW,0.003,0.8219178318977356,1
AdamW,0.005,0.8630136847496033,1
AdamW,0.010,0.7808219194412231,1
AdamW,0.015,0.7260273694992065,1
AdamW,0.020,0.835616409778595,1
AdamW,0.030,0.8630136847496033,1
AdamW,0.040,0.7260273694992065,1
AdamW,0.050,0.42465752363204956,1
AdamW,0.060,0.42465752363204956,1
AdamW,0.070,0.42465752363204956,1
Nadam,0.001,0.8493150472640991,1
Nadam,0.002,0.8493150472640991,1
Nadam,0.003,0.7397260069847107,1
Nadam,0.005,0.7534246444702148,1
Nadam,0.010,0.9452054500579834,1
Nadam,0.015,0.7534246444702148,1
Nadam,0.020,0.767123281955719,1
Nadam,0.030,0.7397260069847107,1
Nadam,0.040,0.7397260069847107,1
Nadam,0.050,0.7397260069847107,1
Nadam,0.060,0.42465752363204956,1
